,group_10yr,population,sex,year,zip
70,10 to 19,1390,Female,2030,91901
71,20 to 29,828,Female,2030,91901
72,30 to 39,952,Female,2030,91901
73,40 to 49,1450,Female,2030,91901
74,50 to 59,1329,Female,2030,91901
75,60 to 69,1473,Female,2030,91901
76,70 to 79,1310,Female,2030,91901
77,80+,699,Female,2030,91901
78,Total Population,10419,Female,2030,91901
79,60 to 69,1458,Male,2030,91901
80,70 to 79,1304,Male,2030,91901
81,80+,517,Male,2030,91901
82,Total Population,10139,Male,2030,91901
83,Total Population,20558,Total,2030,91901
84,Under 10,982,Female,2035,91901
85,10 to 19,1470,Female,2035,91901
86,20 to 29,973,Female,2035,91901
87,30 to 39,917,Female,2035,91901
88,40 to 49,1494,Female,2035,91901
89,50 to 59,1555,Female,2035,91901
90,60 to 69,1390,Female,2035,91901
91,70 to 79,1391,Female,2035,91901
92,80+,913,Female,2035,91901
93,Total Population,11085,Female,2035,91901
94,Under 10,1039,Male,2035,91901
95,10 to 19,1473,Male,2035,91901
96,20 to 29,1000,Male,2035,91901
97,30 to 39,870,Male,2035,91901
98,40 to 49,1266,Male,2035,91901
99,50 to 59,1438,Male,2035,91901
100,60 to 69,1369,Male,2035,91901
101,70 to 79,1417,Male,2035,91901
102,80+,674,Male,2035,91901
103,Total Population,10546,Male,2035,91901
104,Total Population,21631,Total,2035,91901
105,Under 10,989,Female,2040,91901
106,10 to 19,1375,Female,2040,91901
107,20 to 29,1089,Female,2040,91901
108,30 to 39,940,Female,2040,91901
109,40 to 49,1426,Female,2040,91901
110,50 to 59,1677,Female,2040,91901
111,60 to 69,1406,Female,2040,91901
112,70 to 79,1295,Female,2040,91901
113,80+,1107,Female,2040,91901
114,Total Population,11304,Female,2040,91901
115,Under 10,1058,Male,2040,91901
116,10 to 19,1413,Male,2040,91901
117,20 to 29,1043,Male,2040,91901
118,30 to 39,826,Male,2040,91901
119,40 to 49,1276,Male,2040,91901
120,50 to 59,1499,Male,2040,91901
121,60 to 69,1320,Male,2040,91901
122,70 to 79,1324,Male,2040,91901
123,80+,819,Male,2040,91901
124,Total Population,10578,Male,2040,91901
125,Total Population,21882,Total,2040,91901
126,Under 10,1110,Female,2045,91901
127,10 to 19,1314,Female,2045,91901
128,20 to 29,1100,Female,2045,91901
129,30 to 39,1086,Female,2045,91901
130,40 to 49,1325,Female,2045,91901
131,50 to 59,1692,Female,2045,91901
132,60 to 69,1644,Female,2045,91901
133,70 to 79,1231,Female,2045,91901
134,80+,1265,Female,2045,91901
135,Total Population,11767,Female,2045,91901
136,Under 10,1148,Male,2045,91901
137,10 to 19,1421,Male,2045,91901
138,20 to 29,1014,Male,2045,91901
139,30 to 39,885,Male,2045,91901
140,40 to 49,1231,Male,2045,91901
141,50 to 59,1553,Male,2045,91901
142,60 to 69,1476,Male,2045,91901
143,70 to 79,1217,Male,2045,91901
144,80+,930,Male,2045,91901
145,Total Population,10875,Male,2045,91901
146,Total Population,22642,Total,2045,91901
147,Under 10,1238,Female,2050,91901
148,10 to 19,1362,Female,2050,91901
149,20 to 29,1018,Female,2050,91901
150,30 to 39,1259,Female,2050,91901
151,40 to 49,1363,Female,2050,91901
152,50 to 59,1591,Female,2050,91901
153,60 to 69,1805,Female,2050,91901
154,70 to 79,1281,Female,2050,91901
155,80+,1330,Female,2050,91901
156,Total Population,12247,Female,2050,91901
157,Under 10,1271,Male,2050,91901
158,10 to 19,1492,Male,2050,91901
159,20 to 29,977,Male,2050,91901
160,30 to 39,958,Male,2050,91901
161,40 to 49,1192,Male,2050,91901
162,50 to 59,1582,Male,2050,91901
163,60 to 69,1580,Male,2050,91901
164,70 to 79,1258,Male,2050,91901
165,80+,952,Male,2050,91901
166,Total Population,11262,Male,2050,91901
167,Total Population,23509,Total,2050,91901
168,Under 10,971,Female,2012,91902
169,10 to 19,1168,Female,2012,91902
170,20 to 29,1092,Female,2012,91902
171,30 to 39,972,Female,2012,91902
172,40 to 49,1227,Female,2012,91902
173,50 to 59,1312,Female,2012,91902
174,60 to 69,1093,Female,2012,91902
175,70 to 79,619,Female,2012,91902
176,80+,429,Female,2012,91902
177,Total Population,8883,Female,2012,91902
178,Under 10,1012,Male,2012,91902
179,10 to 19,1195,Male,2012,91902
180,20 to 29,1125,Male,2012,91902
181,30 to 39,896,Male,2012,91902
182,40 to 49,1092,Male,2012,91902
183,50 to 59,1128,Male,2012,91902
184,60 to 69,999,Male,2012,91902
185,70 to 79,570,Male,2012,91902
186,80+,335,Male,2012,91902
187,Total Population,8352,Male,2012,91902
188,Total Population,17235,Total,2012,91902
189,Under 10,961,Female,2020,91902
190,10 to 19,977,Female,2020,91902
191,20 to 29,1046,Female,2020,91902
192,30 to 39,994,Female,2020,91902
193,40 to 49,1022,Female,2020,91902
194,50 to 59,1355,Female,2020,91902
195,60 to 69,1385,Female,2020,91902
196,70 to 79,884,Female,2020,91902
197,80+,499,Female,2020,91902
198,Total Population,9123,Female,2020,91902
199,Under 10,968,Male,2020,91902
200,10 to 19,1026,Male,2020,91902
201,20 to 29,1133,Male,2020,91902
202,30 to 39,922,Male,2020,91902
203,40 to 49,937,Male,2020,91902
204,50 to 59,1227,Male,2020,91902
205,60 to 69,1343,Male,2020,91902
206,70 to 79,871,Male,2020,91902
207,80+,323,Male,2020,91902
208,Total Population,8750,Male,2020,91902
209,Total Population,17873,Total,2020,91902
210,Under 10,972,Female,2025,91902
211,10 to 19,932,Female,2025,91902
212,20 to 29,931,Female,2025,91902
213,30 to 39,988,Female,2025,91902
214,40 to 49,1089,Female,2025,91902
215,50 to 59,1319,Female,2025,91902
216,60 to 69,1445,Female,2025,91902
217,70 to 79,1073,Female,2025,91902
218,80+,573,Female,2025,91902
219,Total Population,9322,Female,2025,91902
220,Under 10,958,Male,2025,91902
221,10 to 19,946,Male,2025,91902
222,20 to 29,1090,Male,2025,91902
223,30 to 39,909,Male,2025,91902
224,40 to 49,932,Male,2025,91902
225,50 to 59,1136,Male,2025,91902
226,60 to 69,1424,Male,2025,91902
227,70 to 79,1035,Male,2025,91902
228,80+,373,Male,2025,91902
229,Total Population,8803,Male,2025,91902
230,Total Population,18125,Total,2025,91902
231,Under 10,938,Female,2030,91902
232,10 to 19,970,Female,2030,91902
233,20 to 29,927,Female,2030,91902
234,30 to 39,990,Female,2030,91902
235,40 to 49,1151,Female,2030,91902
236,50 to 59,1331,Female,2030,91902
237,60 to 69,1381,Female,2030,91902
238,70 to 79,1197,Female,2030,91902
239,80+,678,Female,2030,91902
240,Total Population,9563,Female,2030,91902
241,Under 10,946,Male,2030,91902
242,10 to 19,961,Male,2030,91902
243,20 to 29,1015,Male,2030,91902
244,30 to 39,978,Male,2030,91902
245,40 to 49,935,Male,2030,91902
246,50 to 59,1082,Male,2030,91902
247,60 to 69,1382,Male,2030,91902
248,70 to 79,1166,Male,2030,91902
249,80+,468,Male,2030,91902
250,Total Population,8933,Male,2030,91902
251,Total Population,18496,Total,2030,91902
252,Under 10,861,Female,2035,91902
253,10 to 19,989,Female,2035,91902
254,20 to 29,904,Female,2035,91902
255,30 to 39,948,Female,2035,91902
256,40 to 49,1199,Female,2035,91902
257,50 to 59,1377,Female,2035,91902
258,60 to 69,1313,Female,2035,91902
259,70 to 79,1198,Female,2035,91902
260,80+,829,Female,2035,91902
261,Total Population,9618,Female,2035,91902
262,Under 10,925,Male,2035,91902
263,10 to 19,981,Male,2035,91902
264,20 to 29,969,Male,2035,91902
265,30 to 39,884,Male,2035,91902
266,40 to 49,977,Male,2035,91902
267,50 to 59,1077,Male,2035,91902
268,60 to 69,1275,Male,2035,91902
269,70 to 79,1220,Male,2035,91902
270,80+,515,Male,2035,91902
271,Total Population,8823,Male,2035,91902
272,Total Population,18441,Total,2035,91902
273,Under 10,871,Female,2040,91902
274,10 to 19,973,Female,2040,91902
275,20 to 29,985,Female,2040,91902
276,30 to 39,946,Female,2040,91902
277,40 to 49,1321,Female,2040,91902
278,50 to 59,1441,Female,2040,91902
279,60 to 69,1373,Female,2040,91902
280,70 to 79,1183,Female,2040,91902
281,80+,973,Female,2040,91902
282,Total Population,10066,Female,2040,91902
283,Under 10,911,Male,2040,91902
284,10 to 19,989,Male,2040,91902
285,20 to 29,976,Male,2040,91902
286,30 to 39,900,Male,2040,91902
287,40 to 49,999,Male,2040,91902
288,50 to 59,1142,Male,2040,91902
289,60 to 69,1307,Male,2040,91902
290,70 to 79,1162,Male,2040,91902
291,80+,609,Male,2040,91902
292,Total Population,8995,Male,2040,91902
293,Total Population,19061,Total,2040,91902
294,Under 10,883,Female,2045,91902
295,10 to 19,973,Female,2045,91902
296,20 to 29,973,Female,2045,91902
297,30 to 39,978,Female,2045,91902
298,40 to 49,1284,Female,2045,91902
299,50 to 59,1618,Female,2045,91902
300,60 to 69,1447,Female,2045,91902
301,70 to 79,1200,Female,2045,91902
302,80+,1050,Female,2045,91902
303,Total Population,10406,Female,2045,91902
304,Under 10,935,Male,2045,91902
305,10 to 19,989,Male,2045,91902
306,20 to 29,990,Male,2045,91902
307,30 to 39,899,Male,2045,91902
308,40 to 49,997,Male,2045,91902
309,50 to 59,1268,Male,2045,91902
310,60 to 69,1378,Male,2045,91902
311,70 to 79,1088,Male,2045,91902
312,80+,641,Male,2045,91902
313,Total Population,9185,Male,2045,91902
314,Total Population,19591,Total,2045,91902
315,Under 10,887,Female,2050,91902
316,10 to 19,999,Female,2050,91902
317,20 to 29,939,Female,2050,91902
318,30 to 39,991,Female,2050,91902
319,40 to 49,1244,Female,2050,91902
320,50 to 59,1658,Female,2050,91902
321,60 to 69,1537,Female,2050,91902
322,70 to 79,1173,Female,2050,91902
323,80+,1033,Female,2050,91902
324,Total Population,10461,Female,2050,91902
325,Under 10,919,Male,2050,91902
326,10 to 19,1035,Male,2050,91902
327,20 to 29,994,Male,2050,91902
328,30 to 39,860,Male,2050,91902
329,40 to 49,980,Male,2050,91902
330,50 to 59,1334,Male,2050,91902
331,60 to 69,1440,Male,2050,91902
332,70 to 79,1043,Male,2050,91902
333,80+,627,Male,2050,91902
334,Total Population,9232,Male,2050,91902
335,Total Population,19693,Total,2050,91902
336,Under 10,104,Female,2012,91905
337,10 to 19,165,Female,2012,91905
338,20 to 29,61,Female,2012,91905
339,30 to 39,104,Female,2012,91905
340,40 to 49,68,Female,2012,91905
341,50 to 59,134,Female,2012,91905
342,60 to 69,102,Female,2012,91905
343,70 to 79,36,Female,2012,91905
344,80+,56,Female,2012,91905
345,Total Population,830,Female,2012,91905
346,Under 10,129,Male,2012,91905
347,10 to 19,165,Male,2012,91905
348,20 to 29,66,Male,2012,91905
349,30 to 39,64,Male,2012,91905
350,40 to 49,130,Male,2012,91905
351,50 to 59,81,Male,2012,91905
352,60 to 69,146,Male,2012,91905
353,70 to 79,76,Male,2012,91905
354,80+,55,Male,2012,91905
355,Total Population,912,Male,2012,91905
356,Total Population,1742,Total,2012,91905
357,Under 10,132,Female,2020,91905
358,10 to 19,111,Female,2020,91905
359,20 to 29,70,Female,2020,91905
360,30 to 39,82,Female,2020,91905
361,40 to 49,113,Female,2020,91905
362,50 to 59,137,Female,2020,91905
363,60 to 69,155,Female,2020,91905
364,70 to 79,79,Female,2020,91905
365,80+,38,Female,2020,91905
366,Total Population,917,Female,2020,91905
367,Under 10,138,Male,2020,91905
368,10 to 19,128,Male,2020,91905
369,20 to 29,94,Male,2020,91905
370,30 to 39,106,Male,2020,91905
371,40 to 49,94,Male,2020,91905
372,50 to 59,144,Male,2020,91905
373,60 to 69,138,Male,2020,91905
374,70 to 79,115,Male,2020,91905
375,80+,35,Male,2020,91905
376,Total Population,992,Male,2020,91905
377,Total Population,1909,Total,2020,91905
378,Under 10,145,Female,2025,91905
379,10 to 19,112,Female,2025,91905
380,20 to 29,58,Female,2025,91905
381,30 to 39,98,Female,2025,91905
382,40 to 49,141,Female,2025,91905
383,50 to 59,115,Female,2025,91905
384,60 to 69,154,Female,2025,91905
385,70 to 79,95,Female,2025,91905
386,80+,42,Female,2025,91905
387,Total Population,960,Female,2025,91905
388,Under 10,142,Male,2025,91905
389,10 to 19,135,Male,2025,91905
390,20 to 29,98,Male,2025,91905
391,30 to 39,92,Male,2025,91905
392,40 to 49,115,Male,2025,91905
393,50 to 59,141,Male,2025,91905
394,60 to 69,145,Male,2025,91905
395,70 to 79,140,Male,2025,91905
396,80+,52,Male,2025,91905
397,Total Population,1060,Male,2025,91905
398,Total Population,2020,Total,2025,91905
399,Under 10,146,Female,2030,91905
400,10 to 19,107,Female,2030,91905
401,20 to 29,65,Female,2030,91905
402,30 to 39,98,Female,2030,91905
403,40 to 49,170,Female,2030,91905
404,50 to 59,119,Female,2030,91905
405,60 to 69,151,Female,2030,91905
406,70 to 79,115,Female,2030,91905
407,80+,55,Female,2030,91905
408,Total Population,1026,Female,2030,91905
409,Under 10,147,Male,2030,91905
410,10 to 19,140,Male,2030,91905
411,20 to 29,78,Male,2030,91905
412,30 to 39,111,Male,2030,91905
413,40 to 49,138,Male,2030,91905
414,50 to 59,150,Male,2030,91905
415,60 to 69,137,Male,2030,91905
416,70 to 79,179,Male,2030,91905
417,80+,51,Male,2030,91905
418,Total Population,1131,Male,2030,91905
419,Total Population,2157,Total,2030,91905
420,Under 10,141,Female,2035,91905
421,10 to 19,92,Female,2035,91905
422,20 to 29,83,Female,2035,91905
423,30 to 39,114,Female,2035,91905
424,40 to 49,159,Female,2035,91905
425,50 to 59,121,Female,2035,91905
426,60 to 69,145,Female,2035,91905
427,70 to 79,150,Female,2035,91905
428,80+,62,Female,2035,91905
429,Total Population,1067,Female,2035,91905
430,Under 10,128,Male,2035,91905
431,10 to 19,137,Male,2035,91905
432,20 to 29,75,Male,2035,91905
433,30 to 39,108,Male,2035,91905
434,40 to 49,136,Male,2035,91905
435,50 to 59,136,Male,2035,91905
436,60 to 69,136,Male,2035,91905
437,70 to 79,175,Male,2035,91905
438,80+,79,Male,2035,91905
439,Total Population,1110,Male,2035,91905
440,Total Population,2177,Total,2035,91905
441,Under 10,140,Female,2040,91905
442,10 to 19,83,Female,2040,91905
443,20 to 29,89,Female,2040,91905
444,30 to 39,131,Female,2040,91905
445,40 to 49,165,Female,2040,91905
446,50 to 59,119,Female,2040,91905
447,60 to 69,143,Female,2040,91905
448,70 to 79,127,Female,2040,91905
449,80+,88,Female,2040,91905
450,Total Population,1085,Female,2040,91905
451,Under 10,125,Male,2040,91905
452,10 to 19,148,Male,2040,91905
453,20 to 29,86,Male,2040,91905
454,30 to 39,95,Male,2040,91905
455,40 to 49,143,Male,2040,91905
456,50 to 59,137,Male,2040,91905
457,60 to 69,137,Male,2040,91905
458,70 to 79,167,Male,2040,91905
459,80+,82,Male,2040,91905
460,Total Population,1120,Male,2040,91905
461,Total Population,2205,Total,2040,91905
462,Under 10,124,Female,2045,91905
463,10 to 19,92,Female,2045,91905
464,20 to 29,101,Female,2045,91905
465,30 to 39,138,Female,2045,91905
466,40 to 49,126,Female,2045,91905
467,50 to 59,127,Female,2045,91905
468,60 to 69,161,Female,2045,91905
469,70 to 79,100,Female,2045,91905
470,80+,98,Female,2045,91905
471,Total Population,1067,Female,2045,91905
472,Under 10,136,Male,2045,91905
473,10 to 19,155,Male,2045,91905
474,20 to 29,82,Male,2045,91905
475,30 to 39,91,Male,2045,91905
476,40 to 49,133,Male,2045,91905
477,50 to 59,146,Male,2045,91905
478,60 to 69,148,Male,2045,91905
479,70 to 79,142,Male,2045,91905
480,80+,93,Male,2045,91905
481,Total Population,1126,Male,2045,91905
482,Total Population,2193,Total,2045,91905
483,Under 10,107,Female,2050,91905
484,10 to 19,99,Female,2050,91905
485,20 to 29,108,Female,2050,91905
486,30 to 39,134,Female,2050,91905
487,40 to 49,116,Female,2050,91905
488,50 to 59,127,Female,2050,91905
489,60 to 69,158,Female,2050,91905
490,70 to 79,103,Female,2050,91905
491,80+,127,Female,2050,91905
492,Total Population,1079,Female,2050,91905
493,Under 10,145,Male,2050,91905
494,10 to 19,127,Male,2050,91905
495,20 to 29,77,Male,2050,91905
496,30 to 39,98,Male,2050,91905
497,40 to 49,113,Male,2050,91905
498,50 to 59,156,Male,2050,91905
499,60 to 69,130,Male,2050,91905
500,70 to 79,157,Male,2050,91905
501,80+,110,Male,2050,91905
502,Total Population,1113,Male,2050,91905
503,Total Population,2192,Total,2050,91905
504,Under 10,244,Female,2012,91906
505,10 to 19,273,Female,2012,91906
506,20 to 29,170,Female,2012,91906
507,30 to 39,229,Female,2012,91906
508,40 to 49,267,Female,2012,91906
509,50 to 59,271,Female,2012,91906
510,60 to 69,257,Female,2012,91906
511,70 to 79,172,Female,2012,91906
512,80+,63,Female,2012,91906
513,Total Population,1946,Female,2012,91906
514,Under 10,340,Male,2012,91906
515,10 to 19,380,Male,2012,91906
516,20 to 29,208,Male,2012,91906
517,30 to 39,290,Male,2012,91906
518,40 to 49,291,Male,2012,91906
519,50 to 59,356,Male,2012,91906
520,60 to 69,297,Male,2012,91906
521,70 to 79,159,Male,2012,91906
522,80+,75,Male,2012,91906
523,Total Population,2396,Male,2012,91906
524,Total Population,4342,Total,2012,91906
525,Under 10,283,Female,2020,91906
526,10 to 19,228,Female,2020,91906
527,20 to 29,235,Female,2020,91906
528,30 to 39,232,Female,2020,91906
529,40 to 49,255,Female,2020,91906
530,50 to 59,239,Female,2020,91906
531,60 to 69,300,Female,2020,91906
532,70 to 79,177,Female,2020,91906
533,80+,86,Female,2020,91906
534,Total Population,2035,Female,2020,91906
535,Under 10,276,Male,2020,91906
536,10 to 19,375,Male,2020,91906
537,20 to 29,256,Male,2020,91906
538,30 to 39,294,Male,2020,91906
539,40 to 49,221,Male,2020,91906
540,50 to 59,341,Male,2020,91906
541,60 to 69,347,Male,2020,91906
542,70 to 79,239,Male,2020,91906
543,80+,93,Male,2020,91906
544,Total Population,2442,Male,2020,91906
545,Total Population,4477,Total,2020,91906
546,Under 10,276,Female,2025,91906
547,10 to 19,256,Female,2025,91906
548,20 to 29,223,Female,2025,91906
549,30 to 39,229,Female,2025,91906
550,40 to 49,244,Female,2025,91906
551,50 to 59,234,Female,2025,91906
552,60 to 69,321,Female,2025,91906
553,70 to 79,211,Female,2025,91906
554,80+,110,Female,2025,91906
555,Total Population,2104,Female,2025,91906
556,Under 10,296,Male,2025,91906
557,10 to 19,351,Male,2025,91906
558,20 to 29,228,Male,2025,91906
559,30 to 39,288,Male,2025,91906
560,40 to 49,254,Male,2025,91906
561,50 to 59,299,Male,2025,91906
562,60 to 69,369,Male,2025,91906
563,70 to 79,300,Male,2025,91906
564,80+,88,Male,2025,91906
565,Total Population,2473,Male,2025,91906
566,Total Population,4577,Total,2025,91906
567,Under 10,265,Female,2030,91906
568,10 to 19,288,Female,2030,91906
569,20 to 29,195,Female,2030,91906
570,30 to 39,269,Female,2030,91906
571,40 to 49,238,Female,2030,91906
572,50 to 59,226,Female,2030,91906
573,60 to 69,313,Female,2030,91906
574,70 to 79,250,Female,2030,91906
575,80+,130,Female,2030,91906
576,Total Population,2174,Female,2030,91906
577,Under 10,298,Male,2030,91906
578,10 to 19,371,Male,2030,91906
579,20 to 29,213,Male,2030,91906
580,30 to 39,307,Male,2030,91906
581,40 to 49,274,Male,2030,91906
582,50 to 59,264,Male,2030,91906
583,60 to 69,359,Male,2030,91906
584,70 to 79,334,Male,2030,91906
585,80+,124,Male,2030,91906
586,Total Population,2544,Male,2030,91906
587,Total Population,4718,Total,2030,91906
588,Under 10,282,Female,2035,91906
589,10 to 19,313,Female,2035,91906
590,20 to 29,209,Female,2035,91906
591,30 to 39,236,Female,2035,91906
592,40 to 49,250,Female,2035,91906
593,50 to 59,267,Female,2035,91906
594,60 to 69,290,Female,2035,91906
595,70 to 79,257,Female,2035,91906
596,80+,153,Female,2035,91906
597,Total Population,2257,Female,2035,91906
598,Under 10,320,Male,2035,91906
599,10 to 19,332,Male,2035,91906
600,20 to 29,233,Male,2035,91906
601,30 to 39,313,Male,2035,91906
602,40 to 49,280,Male,2035,91906
603,50 to 59,261,Male,2035,91906
604,60 to 69,319,Male,2035,91906
605,70 to 79,366,Male,2035,91906
606,80+,132,Male,2035,91906
607,Total Population,2556,Male,2035,91906
608,Total Population,4813,Total,2035,91906
609,Under 10,277,Female,2040,91906
610,10 to 19,293,Female,2040,91906
611,20 to 29,229,Female,2040,91906
612,30 to 39,214,Female,2040,91906
613,40 to 49,252,Female,2040,91906
614,50 to 59,274,Female,2040,91906
615,60 to 69,299,Female,2040,91906
616,70 to 79,252,Female,2040,91906
617,80+,179,Female,2040,91906
618,Total Population,2269,Female,2040,91906
619,Under 10,310,Male,2040,91906
620,10 to 19,369,Male,2040,91906
621,20 to 29,225,Male,2040,91906
622,30 to 39,287,Male,2040,91906
623,40 to 49,275,Male,2040,91906
624,50 to 59,271,Male,2040,91906
625,60 to 69,309,Male,2040,91906
626,70 to 79,363,Male,2040,91906
627,80+,160,Male,2040,91906
628,Total Population,2569,Male,2040,91906
629,Total Population,4838,Total,2040,91906
630,Under 10,294,Female,2045,91906
631,10 to 19,276,Female,2045,91906
632,20 to 29,241,Female,2045,91906
633,30 to 39,192,Female,2045,91906
634,40 to 49,243,Female,2045,91906
635,50 to 59,297,Female,2045,91906
636,60 to 69,300,Female,2045,91906
637,70 to 79,233,Female,2045,91906
638,80+,255,Female,2045,91906
639,Total Population,2331,Female,2045,91906
640,Under 10,322,Male,2045,91906
641,10 to 19,348,Male,2045,91906
642,20 to 29,224,Male,2045,91906
643,30 to 39,269,Male,2045,91906
644,40 to 49,255,Male,2045,91906
645,50 to 59,279,Male,2045,91906
646,60 to 69,314,Male,2045,91906
647,70 to 79,342,Male,2045,91906
648,80+,206,Male,2045,91906
649,Total Population,2559,Male,2045,91906
650,Total Population,4890,Total,2045,91906
651,Under 10,338,Female,2050,91906
652,10 to 19,325,Female,2050,91906
653,20 to 29,241,Female,2050,91906
654,30 to 39,218,Female,2050,91906
655,40 to 49,288,Female,2050,91906
656,50 to 59,310,Female,2050,91906
657,60 to 69,395,Female,2050,91906
658,70 to 79,275,Female,2050,91906
659,80+,289,Female,2050,91906
660,Total Population,2679,Female,2050,91906
661,Under 10,340,Male,2050,91906
662,10 to 19,385,Male,2050,91906
663,20 to 29,225,Male,2050,91906
664,30 to 39,298,Male,2050,91906
665,40 to 49,248,Male,2050,91906
666,50 to 59,295,Male,2050,91906
667,60 to 69,384,Male,2050,91906
668,70 to 79,338,Male,2050,91906
669,80+,258,Male,2050,91906
670,Total Population,2771,Male,2050,91906
671,Total Population,5450,Total,2050,91906
672,Under 10,4698,Female,2012,91910
673,10 to 19,5778,Female,2012,91910
674,20 to 29,5578,Female,2012,91910
675,30 to 39,5015,Female,2012,91910
676,40 to 49,5507,Female,2012,91910
677,50 to 59,5306,Female,2012,91910
678,60 to 69,3678,Female,2012,91910
679,70 to 79,2159,Female,2012,91910
680,80+,1906,Female,2012,91910
681,Total Population,39625,Female,2012,91910
682,Under 10,5153,Male,2012,91910
683,10 to 19,6156,Male,2012,91910
684,20 to 29,5846,Male,2012,91910
685,30 to 39,4753,Male,2012,91910
686,40 to 49,4893,Male,2012,91910
687,50 to 59,4760,Male,2012,91910
688,60 to 69,3081,Male,2012,91910
689,70 to 79,1561,Male,2012,91910
690,80+,1135,Male,2012,91910
691,Total Population,37338,Male,2012,91910
692,Total Population,76963,Total,2012,91910
693,Under 10,4839,Female,2020,91910
694,10 to 19,4915,Female,2020,91910
695,20 to 29,5458,Female,2020,91910
696,30 to 39,4836,Female,2020,91910
697,40 to 49,4930,Female,2020,91910
698,50 to 59,5432,Female,2020,91910
699,60 to 69,4789,Female,2020,91910
700,70 to 79,2897,Female,2020,91910
701,80+,1967,Female,2020,91910
702,Total Population,40063,Female,2020,91910
703,Under 10,5259,Male,2020,91910
704,10 to 19,5157,Male,2020,91910
705,20 to 29,5981,Male,2020,91910
706,30 to 39,4613,Male,2020,91910
707,40 to 49,4287,Male,2020,91910
708,50 to 59,4920,Male,2020,91910
709,60 to 69,4079,Male,2020,91910
710,70 to 79,2199,Male,2020,91910
711,80+,1181,Male,2020,91910
712,Total Population,37676,Male,2020,91910
713,Total Population,77739,Total,2020,91910
714,Under 10,4797,Female,2025,91910
715,10 to 19,4667,Female,2025,91910
716,20 to 29,4993,Female,2025,91910
717,30 to 39,5044,Female,2025,91910
718,40 to 49,4924,Female,2025,91910
719,50 to 59,5255,Female,2025,91910
720,60 to 69,5180,Female,2025,91910
721,70 to 79,3617,Female,2025,91910
722,80+,2194,Female,2025,91910
723,Total Population,40671,Female,2025,91910
724,Under 10,5205,Male,2025,91910
725,10 to 19,4874,Male,2025,91910
726,20 to 29,5542,Male,2025,91910
727,30 to 39,4903,Male,2025,91910
728,40 to 49,4285,Male,2025,91910
729,50 to 59,4586,Male,2025,91910
730,60 to 69,4513,Male,2025,91910
731,70 to 79,2835,Male,2025,91910
732,80+,1350,Male,2025,91910
733,Total Population,38093,Male,2025,91910
734,Total Population,78764,Total,2025,91910
735,Under 10,4753,Female,2030,91910
736,10 to 19,4770,Female,2030,91910
737,20 to 29,4870,Female,2030,91910
